,Day,Month,Hour,DNI (w/m^2),Elavation angle,Azimuthal angle,DB temp,RH
39,25.0,8.0,14.0,921.0,45.72940693570029,330.456774338451,23.5,22.7
40,18.0,9.0,23.0,0.0,-56.171096984771964,223.18173581923423,18.0,21.0
41,1.0,4.0,17.0,0.0,19.589270976430512,286.3753724151851,29.7,25.4
42,20.0,12.0,22.0,0.0,-26.336340147613896,219.3962274515117,26.8,23.1
43,21.0,7.0,4.0,0.0,-44.576206149222514,88.33943327672672,10.4,44.4
44,3.0,9.0,2.0,0.0,-61.29517153800168,131.6842252858354,9.2,28.9
45,23.0,2.0,16.0,0.0,41.81467512071959,282.5254359438978,31.0,39.8
46,30.0,7.0,15.0,617.0,32.18705392128032,320.6649659796704,23.2,14.7
47,21.0,8.0,16.0,496.0,26.48669179942162,302.95462349980636,22.4,19.3
48,2.0,8.0,13.0,824.0,43.30275890575653,354.0680934313147,21.8,19.5
49,14.0,6.0,1.0,0.0,-82.38065032739547,132.2010257919532,1.9,79.8
50,12.0,11.0,18.0,13.0,12.507324731354998,256.76358107285336,21.3,42.2
51,10.0,3.0,5.0,15.0,-20.865643582411906,107.49797618123816,22.0,26.6
52,15.0,11.0,12.0,1078.0,78.72648031120788,25.915539715917625,29.8,7.4
53,4.0,1.0,23.0,0.0,-33.32475142589443,207.83126018434993,27.0,15.1
54,14.0,1.0,6.0,807.0,1.0228198427368511,113.97876623331337,21.1,30.8
55,8.0,7.0,16.0,362.0,19.827638773064805,311.32114116496,14.9,19.6
56,5.0,9.0,19.0,0.0,-9.020976204790614,273.30748106081506,13.1,12.8
57,12.0,7.0,10.0,737.0,26.2477555821336,41.839263837683,18.6,26.5
58,17.0,4.0,4.0,0.0,-38.811346453278304,100.29049112062143,6.6,65.4
59,28.0,8.0,11.0,862.0,44.90202642002782,34.815962660792174,25.1,20.2
60,19.0,11.0,6.0,798.0,4.5592487783935525,109.4474299542577,19.6,46.6
61,30.0,9.0,3.0,0.0,-41.73786702058683,123.23497120022397,12.6,34.5
62,8.0,4.0,20.0,0.0,-21.309686255098455,266.2594586904048,26.5,38.3
63,11.0,12.0,8.0,963.0,29.88613430566889,101.48096613989668,28.4,10.5
64,22.0,6.0,9.0,729.0,16.3102952726844,50.905711967267344,11.2,81.2
65,8.0,2.0,0.0,0.0,-44.63515537508934,163.0295519066751,27.6,24.4
66,13.0,2.0,10.0,480.0,47.93601143226175,78.41512103345418,31.2,20.5
67,4.0,8.0,9.0,550.0,19.408747187495223,56.374241990531445,17.6,29.3
68,23.0,10.0,1.0,0.0,-49.285117068436506,164.80552862815546,18.5,10.6
69,16.0,7.0,0.0,0.0,-78.33704413361437,124.28039692973218,7.1,69.9
70,21.0,6.0,3.0,0.0,-57.57397008649269,90.5551781833132,5.0,64.2
71,14.0,6.0,20.0,0.0,-28.641572019589887,282.411971480413,6.8,56.4
72,2.0,3.0,11.0,903.0,56.95385289931049,55.86403785706728,33.9,19.4
73,13.0,4.0,12.0,947.0,51.76075865523214,14.627828874882647,29.2,22.3
